active,email,first_name,last_name,manager_id,phone,staff_id
1,bernardine.houston@bikes.shop,Bernardine,Houston,7,(972) 530-5557,10
1,fabiola.jackson@bikes.shop,Fabiola,Jackson,NULL,(831) 555-5554,1
1,genna.serrano@bikes.shop,Genna,Serrano,2,(831) 555-5556,3
1,jannette.david@bikes.shop,Jannette,David,1,(516) 379-4444,5
1,kali.vargas@bikes.shop,Kali,Vargas,1,(972) 530-5555,8
1,layla.terrell@bikes.shop,Layla,Terrell,7,(972) 530-5556,9
1,marcelene.boyer@bikes.shop,Marcelene,Boyer,5,(516) 379-4445,6
1,mireya.copeland@bikes.shop,Mireya,Copeland,1,(831) 555-5555,2
1,venita.daniel@bikes.shop,Venita,Daniel,5,(516) 379-4446,7
1,virgie.wiggins@bikes.shop,Virgie,Wiggins,2,(831) 555-5557,4
